Rank,Player,Nation,Confederation,Goals,Caps,Goals per match,Career span,Date of 50th goal
1,Cristiano Ronaldo,Portugal,UEFA,135,217,0.62,2003-Present,6/26/2014
2,Lionel Messi,Argentina,CONMEBOL,112,190,0.59,2005-Present,3/29/2016
3,Ali Daei,Iran,AFC,108,148,0.73,1993-2006,1/9/2000
4,Sunil Chhetri,India,AFC,94,151,0.62,2005-2024,12/31/2015
5,Mokhtar Dahari,Malaysia,AFC,89,142,0.63,1972-1985,8/22/1976
6,Ali Mabkhout,United Arab Emirates,AFC,85,115,0.74,2009-Present,8/31/2019
6,Romelu Lukaku,Belgium,UEFA,85,120,0.71,2010-Present,10/10/2019
8,Ferenc Puskás,Hungary_Spain,UEFA,84,89,0.94,1945-1962,7/24/1952
8,Robert Lewandowski,Poland,UEFA,84,156,0.54,2008-Present,10/5/2017
10,Godfrey Chitalu,Zambia,CAF,79,111,0.71,1968-1980,11/7/1978
10,Neymar,Brazil,CONMEBOL,79,128,0.62,2010-Present,11/11/2016
12,Hussein Saeed,Iraq,AFC,78,137,0.57,1977-1990,3/17/1984
13,Pelé,Brazil,CONMEBOL,77,92,0.84,1957-1971,7/4/1965
14,Vivian Woodward,England_England amateurs,UEFA,75,53,1.42,1903-1914,5/31/2009
14,Sándor Kocsis,Hungary,UEFA,75,68,1.1,1948-1956,9/19/1954
14,Kunishige Kamamoto,Japan,AFC,75,76,0.99,1964-1977,7/18/1972
14,Bashar Abdullah,Kuwait,AFC,75,134,0.56,1996-2007,12/25/2002
18,Majed Abdullah,Saudi Arabia,AFC,72,117,0.62,1977-1994,4/15/1984
19,Kinnah Phiri,Malawi,CAF,71,117,0.61,1973-1981,7/6/1978
19,Kiatisuk Senamuang,Thailand,AFC,71,134,0.53,1993-2007,1/23/2001
19,Miroslav Klose,Germany,UEFA,71,137,0.52,2001-2014,6/27/2010
22,Piyapong Pue-on,Thailand,AFC,70,100,0.7,1981-1997,1/30/1989
22,Abdul Kadir,Indonesia,AFC,70,111,0.63,1967-1979,8/8/1972
22,Stern John,Trinidad and Tobago,CONCACAF,70,115,0.61,1995-2012,6/13/2004
25,Luis Suárez,Uruguay,CONMEBOL,69,143,0.48,2007-2024,3/23/2018
25,Hossam Hassan,Egypt,CAF,69,177,0.39,1985-2006,2/25/1998
27,Gerd Müller,West Germany,UEFA,68,62,1.1,1966-1974,6/18/1972
27,Harry Kane,England,UEFA,68,102,0.67,2015-Present,6/7/2022
27,Carlos Ruiz,Guatemala,CONCACAF,68,133,0.51,1998-2016,8/15/2012
27,Robbie Keane,Republic of Ireland,UEFA,68,146,0.47,1998-2016,6/4/2011
31,Edin Džeko,Bosnia and Herzegovina,UEFA,67,138,0.49,2007-Present,3/28/2017
32,Didier Drogba,Ivory Coast,CAF,65,105,0.62,2002-2014,1/13/2012
33,Teerasil Dangda,Thailand,AFC,64,128,0.5,2007-Present,12/14/2021
34,Jasem Al-Huwaidi,Kuwait,AFC,63,83,0.76,1992-2003,9/30/2000
35,Ronaldo,Brazil,CONMEBOL,62,98,0.63,1994-2011,11/19/2003
35,Ahmed Radhi,Iraq,AFC,62,121,0.51,1982-1997,8/18/1992
